Country Name,"Year","Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)","Cause of death, by non-communicable diseases (% of total)","Health expenditure per capita (current US$)","Health expenditure, public (% of government expenditure)","Risk of catastrophic expenditure for surgical care (% of people at risk)","Immunization, BCG (% of one-year-old children)","Diarrhea treatment (% of children under 5 who received ORS packet)","Tuberculosis death rate (per 100,000 people)","ARI treatment (% of children under 5 taken to a health provider)"
Afghanistan,"2005","NA","NA","21.89580296","5.49062004","NA","57","NA","45","NA"
Afghanistan,"2006","NA","NA","22.18140928","6.29710557","NA","60","NA","43","NA"
Afghanistan,"2007","NA","NA","26.98894729","2.94919278","NA","60","NA","41","NA"
Afghanistan,"2008","NA","NA","33.80518937","6.92608989","NA","66","NA","40","NA"
Afghanistan,"2009","NA","NA","43.52543981","12.7289712","NA","64","NA","39","NA"
Afghanistan,"2010","NA","NA","52.8857608","14.40415287","NA","68","NA","39","NA"
Afghanistan,"2011","NA","NA","52.38254929","10.17410763","NA","71","53.3","40","60.5"
Afghanistan,"2012","46","36.6","58.16803071","11.668976","NA","78","NA","40","NA"
Afghanistan,"2013","NA","NA","53.36597308","10.591285","NA","78","NA","42","NA"
Afghanistan,"2014","NA","NA","56.57452735","11.99862788","92.8","86","NA","44","NA"
Albania,"2005","NA","NA","166.22792891","9.66766224","NA","98","51.8","0.55","45"
Albania,"2006","NA","NA","175.46111256","9.04057427","NA","97","NA","0.45","NA"
Albania,"2007","NA","NA","216.94308134","8.88017452","NA","98","NA","0.36","NA"
Albania,"2008","NA","NA","254.735035","8.36560747","NA","99","NA","0.35","NA"
Albania,"2009","NA","NA","238.07097947","8.46326188","NA","97","54.3","0.46","69.6"
Albania,"2010","NA","NA","219.27385748","8.46326188","NA","99","NA","0.41","NA"
Albania,"2011","NA","NA","255.2555999","9.85079071","NA","97","NA","0.36","NA"
Albania,"2012","5.1","89.5","239.51286789","9.71053128","NA","96","NA","0.28","NA"
Albania,"2013","NA","NA","253.3418956","9.76242119","NA","99","NA","0.57","NA"
Albania,"2014","NA","NA","272.20429151","9.36900452","26.5","99","NA","0.58","NA"
Algeria,"2005","NA","NA","100.35610741","8.19110067","NA","98","NA","14","NA"
Algeria,"2006","NA","NA","116.33972015","7.80450045","NA","99","18.5","14","53"
Algeria,"2007","NA","NA","150.54703923","8.14056074","NA","99","NA","14","NA"
Algeria,"2008","NA","NA","206.40840341","8.07079154","NA","99","NA","14","NA"
Algeria,"2009","NA","NA","207.72120828","9.00945409","NA","99","NA","14","NA"
Algeria,"2010","NA","NA","228.91595202","9.64613475","NA","99","NA","13","NA"
Algeria,"2011","NA","NA","286.968847","9.3656612","NA","99","NA","13","NA"
Algeria,"2012","14.5","77.3","335.26909118","9.98819159","NA","99","33.5","12","76.2"
Algeria,"2013","NA","NA","345.65370409","9.94780509","NA","99","25.3","12","66.4"
Algeria,"2014","NA","NA","361.7291743","9.90462275","17.2","99","NA","11","NA"
Andorra,"2005","NA","NA","2089.66776214","19.49576618","NA","NA","NA","0.97","NA"
Andorra,"2006","NA","NA","2256.10300159","19.38069555","NA","NA","NA","0.9","NA"
Andorra,"2007","NA","NA","2997.57274716","22.84986475","NA","NA","NA","0.83","NA"
Andorra,"2008","NA","NA","3081.87021953","24.03934868","NA","NA","NA","0.78","NA"
Andorra,"2009","NA","NA","2897.93204128","25.09789318","NA","NA","NA","0.74","NA"
Andorra,"2010","NA","NA","3173.99169088","24.04150838","NA","NA","NA","0.72","NA"
Andorra,"2011","NA","NA","2794.50281318","19.30886114","NA","NA","NA","0.71","NA"
Andorra,"2012","NA","NA","2993.7301066","18.88417767","NA","NA","NA","0.71","NA"
Andorra,"2013","NA","NA","4914.39117816","22.32499002","NA","NA","NA","0.73","NA"
Andorra,"2014","NA","NA","3746.33415672","27.91529512","4.3","NA","NA","0.76","NA"
Angola,"2005","NA","NA","64.68519176","6.08001916","NA","61","NA","54","NA"
Angola,"2006","NA","NA","102.37922537","9.56466881","NA","65","NA","55","NA"
Angola,"2007","NA","NA","106.60251904","6.4167073","NA","88","NA","55","NA"
Angola,"2008","NA","NA","163.11605053","6.46450754","NA","87","NA","55","NA"
Angola,"2009","NA","NA","160.83547792","6.35844866","NA","83","NA","55","NA"
Angola,"2010","NA","NA","131.79621085","5.43233059","NA","93","NA","55","NA"
Angola,"2011","NA","NA","160.36072269","5.58480061","NA","88","NA","54","NA"
Angola,"2012","66.4","24.1","168.02721742","5.57303128","NA","87","NA","54","NA"
Angola,"2013","NA","NA","225.73659246","7.42322054","NA","85","NA","53","NA"
Angola,"2014","NA","NA","179.35785371","5.0042944","51.4","81","NA","52","NA"
Antigua and Barbuda,"2005","NA","NA","532.73416909","12.08302914","NA","NA","NA","1.4","NA"
Antigua and Barbuda,"2006","NA","NA","590.23941594","10.07190438","NA","NA","NA","1.4","NA"
Antigua and Barbuda,"2007","NA","NA","652.2483176","10.80805582","NA","NA","NA","1.4","NA"
Antigua and Barbuda,"2008","NA","NA","740.68854173","12.26851746","NA","NA","NA","1.5","NA"
Antigua and Barbuda,"2009","NA","NA","679.68040921","11.38425212","NA","NA","NA","1.5","NA"
Antigua and Barbuda,"2010","NA","NA","732.68117568","16.35557274","NA","NA","NA","1.5","NA"
Antigua and Barbuda,"2011","NA","NA","724.01950759","15.17565915","NA","NA","NA","1.4","NA"
Antigua and Barbuda,"2012","NA","NA","728.48132414","17.15825866","NA","NA","NA","1.4","NA"
Antigua and Barbuda,"2013","NA","NA","711.43035589","16.28771257","NA","NA","NA","3.6","NA"
Antigua and Barbuda,"2014","NA","NA","773.71224648","18.0845175","27.2","NA","NA","3.8","NA"
Argentina,"2005","NA","NA","389.81827568","16.67158723","NA","99","NA","1.9","NA"
Argentina,"2006","NA","NA","447.1689734","16.35093116","NA","99","NA","1.8","NA"
Argentina,"2007","NA","NA","539.23777278","15.36736969","NA","99","NA","1.8","NA"
Argentina,"2008","NA","NA","673.84210464","15.79489415","NA","99","NA","1.6","NA"
Argentina,"2009","NA","NA","711.95419553","17.12723141","NA","99","NA","1.6","NA"
Argentina,"2010","NA","NA","738.48082303","14.07339845","NA","99","NA","1.3","NA"
Argentina,"2011","NA","NA","795.75029309","11.81500096","NA","99","NA","1.6","NA"
Argentina,"2012","11.3","81.4","726.79434807","8.7412893","NA","99","17.5","1.4","94.3"
Argentina,"2013","NA","NA","731.4512884","7.72304601","NA","99","NA","1.4","NA"
Argentina,"2014","NA","NA","605.1878448","6.91697394","10.7","99","NA","1.4","NA"
Armenia,"2005","NA","NA","86.10079034","10.23427085","NA","94","24.9","8.5","31.9"
Armenia,"2006","NA","NA","98.22416727","11.33176388","NA","91","NA","8.7","NA"
Armenia,"2007","NA","NA","134.06043976","10.41632671","NA","94","NA","8.7","NA"
Armenia,"2008","NA","NA","149.38303441","7.00308606","NA","98","NA","8.6","NA"
Armenia,"2009","NA","NA","132.51720397","6.71988178","NA","99","NA","7.3","NA"
Armenia,"2010","NA","NA","143.06442355","6.96733436","NA","95","33","7.1","56.8"
Armenia,"2011","NA","NA","127.00593164","7.39885161","NA","96","NA","5.3","NA"
Armenia,"2012","3.8","91.9","149.92806121","7.43875474","NA","96","NA","5.7","NA"
Armenia,"2013","NA","NA","158.98019679","7.27372925","NA","99","NA","5.2","NA"
Armenia,"2014","NA","NA","161.55238559","7.04461968","49.7","99","NA","4.7","NA"
Aruba,"2005","NA","NA","NA","NA","NA","NA","NA","0.98","NA"
Aruba,"2006","NA","NA","NA","NA","NA","NA","NA","1","NA"
Aruba,"2007","NA","NA","NA","NA","NA","NA","NA","1","NA"
Aruba,"2008","NA","NA","NA","NA","NA","NA","NA","1","NA"
Aruba,"2009","NA","NA","NA","NA","NA","NA","NA","1","NA"
Aruba,"2010","NA","NA","NA","NA","NA","NA","NA","1","NA"
Aruba,"2011","NA","NA","NA","NA","NA","NA","NA","1","NA"
Aruba,"2012","NA","NA","NA","NA","NA","NA","NA","1","NA"
Aruba,"2013","NA","NA","NA","NA","NA","NA","NA","0.95","NA"
Aruba,"2014","NA","NA","NA","NA","NA","NA","NA","0.9","NA"
Australia,"2005","NA","NA","3214.03087478","16.94705394","NA","NA","NA","0.21","NA"
Australia,"2006","NA","NA","3421.90797166","17.13257779","NA","NA","NA","0.25","NA"
Australia,"2007","NA","NA","4077.85232896","17.48171484","NA","NA","NA","0.18","NA"
Australia,"2008","NA","NA","4410.43770246","17.20871916","NA","NA","NA","0.24","NA"
Australia,"2009","NA","NA","4256.64084463","16.77921974","NA","NA","NA","0.2","NA"
Australia,"2010","NA","NA","5324.51741475","17.11436101","NA","NA","NA","0.23","NA"
Australia,"2011","NA","NA","6368.42412403","17.65066229","NA","NA","NA","0.18","NA"
Australia,"2012","3.6","90.5","6543.52388728","17.31142544","NA","NA","NA","0.18","NA"
Australia,"2013","NA","NA","6258.4673609","17.31142544","NA","NA","NA","0.18","NA"
Australia,"2014","NA","NA","6031.1074579","17.31142544","4.5","NA","NA","0.18","NA"
Austria,"2005","NA","NA","3916.48423374","15.66748852","NA","NA","NA","0.64","NA"
Austria,"2006","NA","NA","4075.33464566","15.74624548","NA","NA","NA","0.57","NA"
Austria,"2007","NA","NA","4710.11058824","15.99877963","NA","NA","NA","0.52","NA"
Austria,"2008","NA","NA","5286.91522868","16.20703242","NA","NA","NA","0.53","NA"
Austria,"2009","NA","NA","5153.78854406","16.09120887","NA","NA","NA","0.5","NA"
Austria,"2010","NA","NA","5049.56233972","15.90639731","NA","NA","NA","0.4","NA"
Austria,"2011","NA","NA","5431.67400978","16.18287608","NA","NA","NA","0.5","NA"
Austria,"2012","2.6","91.9","5239.51757942","16.29661859","NA","NA","NA","0.3","NA"
Austria,"2013","NA","NA","5478.24494959","16.33091808","NA","NA","NA","0.65","NA"
Austria,"2014","NA","NA","5580.49394331","16.27325511","1.4","NA","NA","0.65","NA"
Azerbaijan,"2005","NA","NA","121.89057566","5.15284585","NA","82","NA","11","NA"
Azerbaijan,"2006","NA","NA","149.73086751","4.27429355","NA","86","21.1","7.4","32.5"
Azerbaijan,"2007","NA","NA","192.38440974","4.56771056","NA","88","NA","3.9","NA"
Azerbaijan,"2008","NA","NA","241.55761229","3.07215385","NA","92","NA","2.8","NA"
Azerbaijan,"2009","NA","NA","288.53611228","4.53831434","NA","95","NA","1.9","NA"
Azerbaijan,"2010","NA","NA","310.14890456","4.21557212","NA","98","NA","1.3","NA"
Azerbaijan,"2011","NA","NA","358.2574","3.65643773","NA","99","11.1","0.87","NA"
Azerbaijan,"2012","10.6","84.1","399.49742884","3.805179","NA","98","NA","0.6","NA"
Azerbaijan,"2013","NA","NA","432.418509","3.4957035","NA","98","NA","0.47","NA"
Azerbaijan,"2014","NA","NA","471.41439556","3.88256056","46.9","98","NA","0.42","NA"
"Bahamas, The","2005","NA","NA","1393.62469362","14.73641167","NA","NA","NA","1.2","NA"
"Bahamas, The","2006","NA","NA","1644.47339942","17.13894616","NA","NA","NA","0.61","NA"
"Bahamas, The","2007","NA","NA","1719.8036343","16.80487176","NA","NA","NA","0.89","NA"
"Bahamas, The","2008","NA","NA","1727.6913083","18.19199819","NA","NA","NA","1.2","NA"
"Bahamas, The","2009","NA","NA","1638.219083","17.65104954","NA","NA","NA","0.61","NA"
"Bahamas, The","2010","NA","NA","1630.1376802","17.63028862","NA","NA","NA","0.6","NA"
"Bahamas, The","2011","NA","NA","1642.38655838","16.29669303","NA","NA","NA","0.65","NA"
"Bahamas, The","2012","20.3","72","1642.98980052","15.13047272","NA","NA","NA","0.68","NA"
"Bahamas, The","2013","NA","NA","1572.2566856","13.44797791","NA","NA","NA","0.67","NA"
"Bahamas, The","2014","NA","NA","1720.1594667","14.76375693","27.3","NA","NA","0.63","NA"
Bahrain,"2005","NA","NA","581.65193609","8.64948552","NA","NA","NA","1.1","NA"
Bahrain,"2006","NA","NA","605.16717182","8.812304","NA","NA","NA","0.5","NA"
Bahrain,"2007","NA","NA","651.47085327","9.35480777","NA","NA","NA","0.9","NA"
Bahrain,"2008","NA","NA","730.11507581","9.78171479","NA","NA","NA","0.65","NA"
Bahrain,"2009","NA","NA","725.74826487","10.72125869","NA","NA","NA","0.7","NA"
Bahrain,"2010","NA","NA","741.5719713","9.08452427","NA","NA","NA","0.83","NA"
Bahrain,"2011","NA","NA","756.55105445","8.66784911","NA","NA","NA","0.2","NA"
Bahrain,"2012","10.5","77.8","1006.91174428","9.34712667","NA","NA","NA","0.39","NA"
Bahrain,"2013","NA","NA","1142.49525375","10.57740809","NA","NA","NA","0.47","NA"
Bahrain,"2014","NA","NA","1242.84417722","10.46992799","6.5","NA","NA","0.42","NA"
Bangladesh,"2005","NA","NA","12.43576137","7.864223","NA","97","NA","63","NA"
Bangladesh,"2006","NA","NA","13.50854518","8.56333123","NA","97","64.3698320421865","61","30"
Bangladesh,"2007","NA","NA","15.2414902","8.56470829","NA","98","76.6","59","37.1"
Bangladesh,"2008","NA","NA","17.59674697","6.8994914","NA","99","NA","57","NA"
Bangladesh,"2009","NA","NA","19.82214837","7.82325269","NA","99","NA","55","NA"
Bangladesh,"2010","NA","NA","23.13738001","8.26960239","NA","98","NA","54","NA"
Bangladesh,"2011","NA","NA","25.40782617","7.46217144","NA","99","77.6","53","34.8"
Bangladesh,"2012","31.8","59","25.58110909","6.92130549","NA","98","NA","51","NA"
Bangladesh,"2013","NA","NA","28.15857423","5.54641825","NA","98","NA","51","43.2"
Bangladesh,"2014","NA","NA","30.83346991","5.65505405","73.6","98","77","51","42"
Barbados,"2005","NA","NA","763.73567022","9.2184338","NA","NA","NA","0.75","NA"
Barbados,"2006","NA","NA","825.33785711","10.15901342","NA","NA","NA","0.75","NA"
Barbados,"2007","NA","NA","928.2949345","9.97095765","NA","NA","NA","1.1","NA"
Barbados,"2008","NA","NA","996.65561603","10.53930179","NA","NA","NA","0.37","NA"
Barbados,"2009","NA","NA","1026.93619314","10.97848294","NA","NA","NA","0.36","NA"
Barbados,"2010","NA","NA","980.95802595","9.71187047","NA","NA","NA","0.37","NA"
Barbados,"2011","NA","NA","1035.87240864","10.11550073","NA","NA","NA","0.36","NA"
Barbados,"2012","10.9","84.2","1137.94885959","10.69198533","NA","NA","NA","0","NA"
Barbados,"2013","NA","NA","1146.95193125","10.69953958","NA","NA","NA","0","NA"
Barbados,"2014","NA","NA","1146.04169074","10.92094276","26.1","NA","NA","0","NA"
Belarus,"2005","NA","NA","215.87461505","10.45574111","NA","99","36.4459900915721","11","90"
Belarus,"2006","NA","NA","244.18011302","9.46880502","NA","99","NA","11","NA"
Belarus,"2007","NA","NA","304.98919382","9.08148529","NA","98","NA","11","NA"
Belarus,"2008","NA","NA","379.10780381","7.8747379","NA","98","NA","10","NA"
Belarus,"2009","NA","NA","313.28704175","8.39629426","NA","98","NA","9.1","NA"
Belarus,"2010","NA","NA","322.54246097","13.39529256","NA","99","NA","9","NA"
Belarus,"2011","NA","NA","293.116383","12.99160749","NA","99","NA","8.9","NA"
Belarus,"2012","2.4","88.8","335.96615969","13.21285743","NA","98","45.3","8.6","93.4"
Belarus,"2013","NA","NA","465.16745243","13.90624867","NA","99","NA","8.2","NA"
Belarus,"2014","NA","NA","450.21395576","13.79462392","21.9","98","NA","7.7","NA"
Belgium,"2005","NA","NA","3339.71811566","13.71201933","NA","NA","NA","0.63","NA"
Belgium,"2006","NA","NA","3489.80673468","14.36269107","NA","NA","NA","0.39","NA"
Belgium,"2007","NA","NA","4017.78879671","14.4129836","NA","NA","NA","0.49","NA"
Belgium,"2008","NA","NA","4565.94842521","14.85387211","NA","NA","NA","0.49","NA"
Belgium,"2009","NA","NA","4574.69481018","14.96840526","NA","NA","NA","0.34","NA"
Belgium,"2010","NA","NA","4419.44425532","15.00193431","NA","NA","NA","0.25","NA"
Belgium,"2011","NA","NA","4864.15444581","14.94846286","NA","NA","NA","0.33","NA"
Belgium,"2012","7","86.6","4587.91448978","14.85258063","NA","NA","NA","0.31","NA"
Belgium,"2013","NA","NA","4813.42112301","15.0973108","NA","NA","NA","0.3","NA"
Belgium,"2014","NA","NA","4884.06626139","15.09731075","2.7","NA","NA","0.28","NA"
Belize,"2005","NA","NA","175.13564553","9.29538205","NA","96","NA","2.1","NA"
Belize,"2006","NA","NA","184.26936612","9.24635902","NA","97","27","5.6","71"
Belize,"2007","NA","NA","205.88719474","10.60845363","NA","99","NA","2.7","NA"
Belize,"2008","NA","NA","227.66022684","11.4598321","NA","98","NA","5.1","NA"
Belize,"2009","NA","NA","247.33846611","12.91270727","NA","99","NA","4.2","NA"
Belize,"2010","NA","NA","253.95162915","13.11900024","NA","98","NA","4.1","NA"
Belize,"2011","NA","NA","253.19476568","13.41403015","NA","98","22.8","3.7","82.2"
Belize,"2012","19.2","65.4","254.89203967","12.4715247","NA","98","NA","2.1","NA"
Belize,"2013","NA","NA","273.26732957","13.41928526","NA","99","NA","2.2","NA"
Belize,"2014","NA","NA","278.57920932","13.81204476","36.4","98","NA","1.8","NA"
Benin,"2005","NA","NA","25.21299773","11.05186976","NA","88","NA","13","NA"
Benin,"2006","NA","NA","26.47099281","12.13213867","NA","93","23.3","12","36"
Benin,"2007","NA","NA","28.77488754","9.7919972","NA","97","NA","11","NA"
Benin,"2008","NA","NA","31.01526554","9.27417574","NA","96","NA","11","NA"
Benin,"2009","NA","NA","31.80955051","8.9492276","NA","93","NA","11","NA"
Benin,"2010","NA","NA","34.14297248","12.44315695","NA","90","NA","11","NA"
Benin,"2011","NA","NA","40.01989767","13.34995067","NA","88","NA","11","NA"
Benin,"2012","55.2","36.1","36.45471795","10.16968907","NA","93","50.1","10","31"
Benin,"2013","NA","NA","36.95635544","9.55089804","NA","92","NA","10","NA"
Benin,"2014","NA","NA","37.88944806","9.55089804","68.5","93","NA","9.8","23.3"
Bermuda,"2005","NA","NA","NA","NA","NA","NA","NA","0","NA"
Bermuda,"2006","NA","NA","NA","NA","NA","NA","NA","0","NA"
Bermuda,"2007","NA","NA","NA","NA","NA","NA","NA","0","NA"
Bermuda,"2008","NA","NA","NA","NA","NA","NA","NA","0","NA"
Bermuda,"2009","NA","NA","NA","NA","NA","NA","NA","0","NA"
Bermuda,"2010","NA","NA","NA","NA","NA","NA","NA","0","NA"
Bermuda,"2011","NA","NA","NA","NA","NA","NA","NA","0","NA"
Bermuda,"2012","NA","NA","NA","NA","NA","NA","NA","0","NA"
Bermuda,"2013","NA","NA","NA","NA","NA","NA","NA","0","NA"
Bermuda,"2014","NA","NA","NA","NA","NA","NA","NA","0","NA"
Bhutan,"2005","NA","NA","66.41020899","11.66964244","NA","92","NA","61","NA"
Bhutan,"2006","NA","NA","70.92105204","12.67250018","NA","92","NA","53","NA"
Bhutan,"2007","NA","NA","103.17991674","16.02805318","NA","94","NA","46","NA"
Bhutan,"2008","NA","NA","119.13277535","16.85626903","NA","99","NA","39","NA"
Bhutan,"2009","NA","NA","107.70620341","15.50750906","NA","94","NA","33","NA"
Bhutan,"2010","NA","NA","113.8456025","11.02358727","NA","96","60.9","27","74.2"
Bhutan,"2011","NA","NA","117.61404531","11.79340525","NA","95","NA","21","NA"
Bhutan,"2012","24.2","56.4","90.82385575","7.78580725","NA","95","NA","16","NA"
Bhutan,"2013","NA","NA","90.3048197","8.38859599","NA","97","NA","11","NA"
Bhutan,"2014","NA","NA","88.79259723","8.03238717","37.7","99","NA","9.5","NA"
Bolivia,"2005","NA","NA","60.16329369","11.81250058","NA","88","NA","4","NA"
Bolivia,"2006","NA","NA","65.04620113","12.05053777","NA","87","NA","3.9","NA"
Bolivia,"2007","NA","NA","70.05347817","11.18054212","NA","88","NA","3.8","NA"
Bolivia,"2008","NA","NA","88.30533886","10.40307066","NA","90","34.9","3.7","50.9"
Bolivia,"2009","NA","NA","104.13262766","11.33358807","NA","94","NA","3.6","66.3"
Bolivia,"2010","NA","NA","109.7640013","11.86824079","NA","98","NA","3.5","NA"
Bolivia,"2011","NA","NA","132.827973","11.06042644","NA","99","NA","3.4","61.6"
Bolivia,"2012","28.1","58.7","149.33998013","11.33462372","NA","99","22.3","3.3","NA"
Bolivia,"2013","NA","NA","178.727251","11.9592305","NA","99","NA","3.2","NA"
Bolivia,"2014","NA","NA","208.78419416","11.75192516","49.6","99","NA","3.1","NA"
Bosnia and Herzegovina,"2005","NA","NA","248.78939818","10.53618595","NA","95","NA","5.6","NA"
Bosnia and Herzegovina,"2006","NA","NA","277.65792549","11.11290032","NA","97","34.6533530740904","5.5","91"
Bosnia and Herzegovina,"2007","NA","NA","343.84924954","10.96868768","NA","98","NA","5.4","NA"
Bosnia and Herzegovina,"2008","NA","NA","426.9177068","11.47894865","NA","96","NA","5.3","NA"
Bosnia and Herzegovina,"2009","NA","NA","442.13800467","13.73440346","NA","97","NA","5.2","NA"
Bosnia and Herzegovina,"2010","NA","NA","428.64731846","13.6688533","NA","96","NA","5.1","NA"
Bosnia and Herzegovina,"2011","NA","NA","472.10801693","14.42747145","NA","94","NA","5","NA"
Bosnia and Herzegovina,"2012","2.6","91.4","446.75239012","14.70695061","NA","96","36.3","4.6","87"
Bosnia and Herzegovina,"2013","NA","NA","449.38279161","14.10585357","NA","97","NA","4.2","NA"
Bosnia and Herzegovina,"2014","NA","NA","463.63992785","14.10585357","14.2","98","NA","3.8","NA"
Botswana,"2005","NA","NA","299.62537779","11.77404719","NA","99","NA","32","NA"
Botswana,"2006","NA","NA","263.34446263","10.41900998","NA","99","NA","29","NA"
Botswana,"2007","NA","NA","267.07285268","8.97026831","NA","99","NA","29","NA"
Botswana,"2008","NA","NA","313.44303556","8.47880512","NA","99","NA","28","NA"
Botswana,"2009","NA","NA","321.66194177","8.23082262","NA","99","NA","26","NA"
Botswana,"2010","NA","NA","378.78103239","8.61620298","NA","98","NA","25","NA"
Botswana,"2011","NA","NA","384.13222682","8.75119605","NA","98","NA","25","NA"
Botswana,"2012","54","36.8","427.51677594","10.75512459","NA","98","NA","24","NA"
Botswana,"2013","NA","NA","396.6018688","10.43662681","NA","98","NA","26","NA"
Botswana,"2014","NA","NA","385.31409704","8.83910109","27.3","98","NA","28","NA"
Brazil,"2005","NA","NA","391.29355366","4.97638733","NA","99","NA","3.1","NA"
Brazil,"2006","NA","NA","485.39290018","5.16962546","NA","99","NA","3","49.7"
Brazil,"2007","NA","NA","599.60405404","5.39960914","NA","99","NA","2.9","49.7"
Brazil,"2008","NA","NA","716.75561525","5.98616735","NA","99","NA","2.9","NA"
Brazil,"2009","NA","NA","731.9202567","6.064482","NA","99","NA","2.7","NA"
Brazil,"2010","NA","NA","919.66852266","9.89642313","NA","99","NA","2.7","NA"
Brazil,"2011","NA","NA","1055.13616868","8.23753559","NA","99","NA","2.6","NA"
Brazil,"2012","13.5","74.2","984.92254668","6.8625061","NA","99","NA","2.5","NA"
Brazil,"2013","NA","NA","993.4641213","7.05216777","NA","99","NA","2.6","NA"
Brazil,"2014","NA","NA","947.42769597","6.78191967","37.4","99","NA","2.6","NA"
British Virgin Islands,"2005","NA","NA","NA","NA","NA","NA","NA","4.6","NA"
British Virgin Islands,"2006","NA","NA","NA","NA","NA","NA","NA","4.5","NA"
British Virgin Islands,"2007","NA","NA","NA","NA","NA","NA","NA","4.2","NA"
British Virgin Islands,"2008","NA","NA","NA","NA","NA","NA","NA","3.9","NA"
British Virgin Islands,"2009","NA","NA","NA","NA","NA","NA","NA","4.2","NA"
British Virgin Islands,"2010","NA","NA","NA","NA","NA","NA","NA","3.7","NA"
British Virgin Islands,"2011","NA","NA","NA","NA","NA","NA","NA","3.6","NA"
British Virgin Islands,"2012","NA","NA","NA","NA","NA","NA","NA","3.8","NA"
British Virgin Islands,"2013","NA","NA","NA","NA","NA","NA","NA","4.3","NA"
British Virgin Islands,"2014","NA","NA","NA","NA","NA","NA","NA","5","NA"
Brunei Darussalam,"2005","NA","NA","691.28688514","6.88329595","NA","94","NA","3.4","NA"
Brunei Darussalam,"2006","NA","NA","699.00076497","6.2639185","NA","99","NA","2.8","NA"
Brunei Darussalam,"2007","NA","NA","758.09649105","6.27406256","NA","96","NA","2.6","NA"
Brunei Darussalam,"2008","NA","NA","842.71856864","6.69016734","NA","99","NA","2.5","NA"
Brunei Darussalam,"2009","NA","NA","789.85048953","6.70138421","NA","99","NA","3.3","NA"
Brunei Darussalam,"2010","NA","NA","859.66173542","6.28589947","NA","95","NA","3.7","NA"
Brunei Darussalam,"2011","NA","NA","938.48472101","6.26894688","NA","96","NA","1.2","NA"
Brunei Darussalam,"2012","9.5","80.2","961.89376061","6.06669378","NA","99","NA","3.5","NA"
Brunei Darussalam,"2013","NA","NA","1022.86920561","6.38384636","NA","99","NA","3.5","NA"
Brunei Darussalam,"2014","NA","NA","957.60599801","6.473376","13.4","99","NA","3.6","NA"
Bulgaria,"2005","NA","NA","274.97337317","11.71831247","NA","98","NA","3.6","NA"
Bulgaria,"2006","NA","NA","300.386581","11.26670952","NA","98","NA","3.5","NA"
Bulgaria,"2007","NA","NA","379.48450348","9.97142117","NA","98","NA","3.6","NA"
Bulgaria,"2008","NA","NA","483.39472307","10.47537232","NA","98","NA","3.1","NA"
Bulgaria,"2009","NA","NA","471.57466704","9.50899583","NA","98","NA","2.6","NA"
Bulgaria,"2010","NA","NA","488.21206822","11.02347312","NA","98","NA","2.7","NA"
Bulgaria,"2011","NA","NA","532.50468494","11.02347312","NA","98","NA","2.4","NA"
Bulgaria,"2012","3","93.7","519.48224259","11.5357273","NA","97","NA","2.3","NA"
Bulgaria,"2013","NA","NA","606.02521341","10.95201537","NA","97","NA","2.3","NA"
Bulgaria,"2014","NA","NA","661.84652732","10.95201537","13.6","97","NA","2.1","NA"
Burkina Faso,"2005","NA","NA","27.97832335","18.66207578","NA","99","NA","12","NA"
Burkina Faso,"2006","NA","NA","27.65285018","15.20094231","NA","99","16.5044024699437","12","39"
Burkina Faso,"2007","NA","NA","31.47041295","15.55554223","NA","99","NA","11","NA"
Burkina Faso,"2008","NA","NA","38.51408641","18.91959399","NA","99","NA","11","NA"
Burkina Faso,"2009","NA","NA","40.86637373","14.67738071","NA","99","NA","11","NA"
Burkina Faso,"2010","NA","NA","41.18892323","15.71920612","NA","99","21.2","10","56"
Burkina Faso,"2011","NA","NA","34.41863315","12.8250426","NA","99","NA","10","NA"
Burkina Faso,"2012","58.4","32","35.8513692","11.69373226","NA","96","NA","9.5","NA"
Burkina Faso,"2013","NA","NA","42.2125761","12.72407194","NA","96","NA","9","NA"
Burkina Faso,"2014","NA","NA","35.19599866","11.15812496","71","98","NA","9.1","NA"
Burundi,"2005","NA","NA","13.85306615","11.22025698","NA","89","34.7920875287167","35","38"
Burundi,"2006","NA","NA","17.80375176","12.80553383","NA","98","NA","32","NA"
Burundi,"2007","NA","NA","15.97060537","9.70207481","NA","97","NA","30","NA"
Burundi,"2008","NA","NA","14.36007705","8.15134447","NA","99","NA","28","NA"
Burundi,"2009","NA","NA","13.53159243","8.14217182","NA","98","NA","27","NA"
Burundi,"2010","NA","NA","18.9457458","13.46501176","NA","93","37.8","25","54.7"
Burundi,"2011","NA","NA","20.77401252","13.5786437","NA","90","NA","24","NA"
Burundi,"2012","60.3","28.4","20.34701459","14.05947053","NA","98","NA","23","NA"
Burundi,"2013","NA","NA","20.85880811","14.01828211","NA","95","NA","23","NA"
Burundi,"2014","NA","NA","21.55325396","13.18522664","87.7","92","NA","23","NA"
Cabo Verde,"2005","NA","NA","103.61719673","10.35167811","NA","99","NA","40","51.4"
Cabo Verde,"2006","NA","NA","126.40835742","11.2862542","NA","99","NA","38","NA"
Cabo Verde,"2007","NA","NA","135.32055847","11.10103267","NA","99","NA","36","NA"
Cabo Verde,"2008","NA","NA","146.54934854","9.90530936","NA","99","NA","34","NA"
Cabo Verde,"2009","NA","NA","149.22579278","9.86532571","NA","99","NA","33","NA"
