Country Name,"Time","GHG net emissions/removals by LUCF (Mt of CO2 equivalent)","Total greenhouse gas emissions (kt of CO2 equivalent)"
"Bahamas, The","2013","NA","NA"
"Bahamas, The","2014","NA","NA"
Bahrain,"2005","NA","23432.38192"
Bahrain,"2006","NA","25118.2166"
Bahrain,"2007","NA","26614.11515"
Bahrain,"2008","NA","29223.02527"
Bahrain,"2009","NA","29249.5794618954"
Bahrain,"2010","NA","30921.9708369881"
Bahrain,"2011","NA","31941.0424444878"
Bahrain,"2012","NA","32849.1057287728"
Bahrain,"2013","NA","NA"
Bahrain,"2014","NA","NA"
Bangladesh,"2005","NA","151091.702"
Bangladesh,"2006","NA","155320.504"
Bangladesh,"2007","NA","161041.755"
Bangladesh,"2008","NA","164700.503"
Bangladesh,"2009","NA","169927.913290136"
Bangladesh,"2010","NA","177504.473602208"
Bangladesh,"2011","NA","180498.432989672"
Bangladesh,"2012","NA","183300.562417687"
Bangladesh,"2013","NA","NA"
Bangladesh,"2014","NA","NA"
Barbados,"2005","NA","1310.42268"
Barbados,"2006","NA","1309.94482"
Barbados,"2007","NA","1357.35557"
Barbados,"2008","NA","1370.84117"
Barbados,"2009","NA","1371.76607292313"
Barbados,"2010","NA","1449.42611368458"
Barbados,"2011","NA","1497.6461338935"
Barbados,"2012","NA","1540.61570884268"
Barbados,"2013","NA","NA"
Barbados,"2014","NA","NA"
Belarus,"2005","-26.2099792133783","89989.7232"
Belarus,"2006","-28.4205776787366","94475.092"
Belarus,"2007","-27.5594807799655","95710.8225"
Belarus,"2008","-27.1384557932524","100860.1753"
Belarus,"2009","-30.0435378","101754.791693808"
Belarus,"2010","NA","108204.547178591"
Belarus,"2011","NA","108921.434693533"
Belarus,"2012","NA","109647.238750262"
Belarus,"2013","NA","NA"
Belarus,"2014","NA","NA"
Belgium,"2005","-1.64972616918008","136696.039"
Belgium,"2006","-1.6371335760418","134802.749"
Belgium,"2007","-1.61180995106998","131823.167"
Belgium,"2008","-1.55599469147139","137213.867"
Belgium,"2009","-1.6002542750046","131110.289477906"
Belgium,"2010","NA","138029.410871298"
Belgium,"2011","NA","137517.867915404"
Belgium,"2012","NA","133373.684007061"
Belgium,"2013","NA","NA"
Belgium,"2014","NA","NA"
Belize,"2005","NA","2022.18417"
Belize,"2006","NA","1276.55753"
Belize,"2007","NA","1802.16292"
Belize,"2008","NA","1408.14902"
Belize,"2009","NA","1534.36458313462"
Belize,"2010","NA","1498.87844951416"
Belize,"2011","NA","1536.23743731011"
Belize,"2012","NA","1569.8585030674"
Belize,"2013","NA","NA"
Belize,"2014","NA","NA"
Benin,"2005","NA","48572.5105"
Benin,"2006","NA","36385.6729"
Benin,"2007","NA","39886.08"
Benin,"2008","NA","37639.925"
Benin,"2009","NA","38068.3747296726"
Benin,"2010","NA","33029.8223452635"
Benin,"2011","NA","33289.5519203445"
Benin,"2012","NA","33533.0967333661"
Benin,"2013","NA","NA"
Benin,"2014","NA","NA"
Bermuda,"2005","NA","584.756357"
Bermuda,"2006","NA","600.515297"
Bermuda,"2007","NA","539.779525"
Bermuda,"2008","NA","560.027695"
Bermuda,"2009","NA","561.263745445672"
Bermuda,"2010","NA","594.651571750838"
Bermuda,"2011","NA","614.875651538293"
Bermuda,"2012","NA","632.876992070822"
Bermuda,"2013","NA","NA"
Bermuda,"2014","NA","NA"
Bhutan,"2005","NA","1617.86441"
Bhutan,"2006","NA","1966.3538"
Bhutan,"2007","NA","2326.55307"
Bhutan,"2008","NA","1908.28623"
Bhutan,"2009","NA","2190.92068373641"
Bhutan,"2010","NA","3220.40038033772"
Bhutan,"2011","NA","3259.60738958883"
Bhutan,"2012","NA","3296.96372502552"
Bhutan,"2013","NA","NA"
Bhutan,"2014","NA","NA"
Bolivia,"2005","NA","309458.392"
Bolivia,"2006","NA","164214.818"
Bolivia,"2007","NA","227561.899"
Bolivia,"2008","NA","120003.253"
Bolivia,"2009","NA","76425.9663518695"
Bolivia,"2010","NA","102900.515628915"
Bolivia,"2011","NA","620981.955546628"
Bolivia,"2012","NA","621726.72675282"
Bolivia,"2013","NA","NA"
Bolivia,"2014","NA","NA"
Bosnia and Herzegovina,"2005","NA","20780.3563"
Bosnia and Herzegovina,"2006","NA","22772.2341"
Bosnia and Herzegovina,"2007","NA","24673.0881"
Bosnia and Herzegovina,"2008","NA","24236.6085"
Bosnia and Herzegovina,"2009","NA","24471.8965485269"
Bosnia and Herzegovina,"2010","NA","25619.3313185136"
Bosnia and Herzegovina,"2011","NA","26405.844115572"
Bosnia and Herzegovina,"2012","NA","27108.4002030228"
Bosnia and Herzegovina,"2013","NA","NA"
Bosnia and Herzegovina,"2014","NA","NA"
Botswana,"2005","NA","24188.461"
Botswana,"2006","NA","43484.6626"
Botswana,"2007","NA","26082.8828"
Botswana,"2008","NA","73051.1312"
Botswana,"2009","NA","22941.9658476252"
Botswana,"2010","NA","81652.255603953"
Botswana,"2011","NA","81891.0361459063"
Botswana,"2012","NA","82110.2767551773"
Botswana,"2013","NA","NA"
Botswana,"2014","NA","NA"
Brazil,"2005","1329.05","2386439.68"
Brazil,"2006","NA","1621079.23"
Brazil,"2007","NA","2703498.56"
Brazil,"2008","NA","1532859.83"
Brazil,"2009","NA","1211969.40849959"
Brazil,"2010","NA","2902242.61816138"
Brazil,"2011","NA","2953040.51916222"
Brazil,"2012","NA","2989417.95671697"
Brazil,"2013","NA","NA"
Brazil,"2014","NA","NA"
British Virgin Islands,"2005","NA","94.077216"
British Virgin Islands,"2006","NA","96.799727"
British Virgin Islands,"2007","NA","108.787188"
British Virgin Islands,"2008","NA","113.710494"
British Virgin Islands,"2009","NA","114.039566194226"
British Virgin Islands,"2010","NA","119.867609183181"
British Virgin Islands,"2011","NA","123.516315347448"
British Virgin Islands,"2012","NA","126.783599443422"
British Virgin Islands,"2013","NA","NA"
British Virgin Islands,"2014","NA","NA"
Brunei Darussalam,"2005","NA","10968.956"
Brunei Darussalam,"2006","NA","13195.2164"
Brunei Darussalam,"2007","NA","12998.2302"
Brunei Darussalam,"2008","NA","13738.0621"
Brunei Darussalam,"2009","NA","13549.7996975112"
Brunei Darussalam,"2010","NA","14123.5980784977"
Brunei Darussalam,"2011","NA","14494.4915224535"
Brunei Darussalam,"2012","NA","14828.9670065495"
Brunei Darussalam,"2013","NA","NA"
Brunei Darussalam,"2014","NA","NA"
Bulgaria,"2005","-11.3361455099205","68542.7723"
Bulgaria,"2006","-11.4056001676","69900.815"
Bulgaria,"2007","-10.254713536765","72526.719"
Bulgaria,"2008","-11.5658077086322","71720.335"
Bulgaria,"2009","-11.7818769091571","65132.8579"
Bulgaria,"2010","NA","67945.3135"
Bulgaria,"2011","NA","72946.6230665323"
Bulgaria,"2012","NA","67942.6956330647"
Bulgaria,"2013","NA","NA"
Bulgaria,"2014","NA","NA"
Burkina Faso,"2005","NA","47809.697"
Burkina Faso,"2006","NA","41364.167"
Burkina Faso,"2007","NA","43631.841"
Burkina Faso,"2008","NA","40706.298"
Burkina Faso,"2009","NA","43473.0978945734"
Burkina Faso,"2010","NA","43405.9091881049"
Burkina Faso,"2011","NA","43660.150208767"
Burkina Faso,"2012","NA","43910.4023930555"
Burkina Faso,"2013","NA","NA"
Burkina Faso,"2014","NA","NA"
Burundi,"2005","-15.346","5302.3078"
Burundi,"2006","NA","5553.3479"
Burundi,"2007","NA","5477.675"
Burundi,"2008","NA","5724.9553"
Burundi,"2009","NA","5925.87668691856"
Burundi,"2010","NA","6040.9823701579"
Burundi,"2011","NA","6151.9955362651"
Burundi,"2012","NA","6254.37102422528"
Burundi,"2013","NA","NA"
Burundi,"2014","NA","NA"
Cabo Verde,"2005","NA","362.75683"
Cabo Verde,"2006","NA","344.53774"
Cabo Verde,"2007","NA","359.77141"
Cabo Verde,"2008","NA","369.11656"
Cabo Verde,"2009","NA","376.400422517821"
Cabo Verde,"2010","NA","395.335709236794"
Cabo Verde,"2011","NA","403.671489287392"
Cabo Verde,"2012","NA","411.32501125158"
Cabo Verde,"2013","NA","NA"
Cabo Verde,"2014","NA","NA"
Cambodia,"2005","NA","101252.49"
Cambodia,"2006","NA","102119.769"
Cambodia,"2007","NA","197112.044"
Cambodia,"2008","NA","120478.859"
Cambodia,"2009","NA","87674.9467919816"
Cambodia,"2010","NA","126272.197590116"
Cambodia,"2011","NA","126838.759921248"
Cambodia,"2012","NA","127399.586925028"
Cambodia,"2013","NA","NA"
Cambodia,"2014","NA","NA"
Cameroon,"2005","NA","160728"
Cameroon,"2006","NA","123887.438"
Cameroon,"2007","NA","120331.649"
Cameroon,"2008","NA","120917.192"
Cameroon,"2009","NA","116739.191913519"
Cameroon,"2010","NA","99823.2841036055"
Cameroon,"2011","NA","100386.545956658"
Cameroon,"2012","NA","100922.136209962"
Cameroon,"2013","NA","NA"
Cameroon,"2014","NA","NA"
Canada,"2005","53.5327820329995","849798.74"
Canada,"2006","64.6209327633334","894922.55"
Canada,"2007","51.4291536726668","892066.85"
Canada,"2008","-16.9484282116675","908926"
Canada,"2009","-12.1001595706662","749863.654006812"
Canada,"2010","NA","764137.675301163"
Canada,"2011","NA","1033481.98200961"
Canada,"2012","NA","1027063.85487082"
Canada,"2013","NA","NA"
Canada,"2014","NA","NA"
Cayman Islands,"2005","NA","346.477973"
Cayman Islands,"2006","NA","350.822598"
Cayman Islands,"2007","NA","378.938689"
Cayman Islands,"2008","NA","397.522851"
Cayman Islands,"2009","NA","398.460760394869"
Cayman Islands,"2010","NA","422.028104191293"
Cayman Islands,"2011","NA","436.231619029776"
Cayman Islands,"2012","NA","448.880938380706"
Cayman Islands,"2013","NA","NA"
Cayman Islands,"2014","NA","NA"
Central African Republic,"2005","NA","455529.683"
Central African Republic,"2006","NA","595439.934"
Central African Republic,"2007","NA","695449.724"
Central African Republic,"2008","NA","603473.098"
Central African Republic,"2009","NA","428273.612164627"
Central African Republic,"2010","NA","511442.689268757"
Central African Republic,"2011","NA","513289.515718343"
Central African Republic,"2012","NA","515134.078641482"
Central African Republic,"2013","NA","NA"
Central African Republic,"2014","NA","NA"
Chad,"2005","NA","123870.949"
Chad,"2006","NA","127646.749"
Chad,"2007","NA","128596.504"
Chad,"2008","NA","119558.378"
Chad,"2009","NA","102031.53812638"
Chad,"2010","NA","109130.415140564"
Chad,"2011","NA","109463.638704445"
Chad,"2012","NA","109796.019972251"
Chad,"2013","NA","NA"
Chad,"2014","NA","NA"
Channel Islands,"2005","NA","NA"
Channel Islands,"2006","NA","NA"
Channel Islands,"2007","NA","NA"
Channel Islands,"2008","NA","NA"
Channel Islands,"2009","NA","NA"
Channel Islands,"2010","NA","NA"
Channel Islands,"2011","NA","NA"
Channel Islands,"2012","NA","NA"
Channel Islands,"2013","NA","NA"
Channel Islands,"2014","NA","NA"
Chile,"2005","NA","101594.281"
Chile,"2006","NA","101965.01"
Chile,"2007","NA","113127.232"
Chile,"2008","NA","111021.043"
Chile,"2009","NA","110404.531907509"
Chile,"2010","NA","114284.996586273"
Chile,"2011","NA","117661.680608773"
Chile,"2012","NA","120687.892409947"
Chile,"2013","NA","NA"
Chile,"2014","NA","NA"
China,"2005","NA","7803535.6"
China,"2006","NA","8573395.4"
China,"2007","NA","9124046.5"
China,"2008","NA","10022024.8"
China,"2009","NA","10617264.9"
China,"2010","NA","11183810.6"
China,"2011","NA","12064260.00255"
China,"2012","NA","12454710.6051"
China,"2013","NA","NA"
China,"2014","NA","NA"
Colombia,"2005","NA","150617.798"
Colombia,"2006","NA","151546.735"
Colombia,"2007","NA","177034.101"
Colombia,"2008","NA","167450.086"
Colombia,"2009","NA","171912.029047431"
Colombia,"2010","NA","166695.866929375"
Colombia,"2011","NA","170199.57902723"
Colombia,"2012","NA","173411.767914881"
Colombia,"2013","NA","NA"
Colombia,"2014","NA","NA"
Comoros,"2005","NA","480.84327"
Comoros,"2006","NA","385.28317"
Comoros,"2007","NA","513.65354"
Comoros,"2008","NA","579.093"
Comoros,"2009","NA","531.670002296986"
Comoros,"2010","NA","543.622185158965"
Comoros,"2011","NA","554.335660086527"
Comoros,"2012","NA","564.2206617218"
Comoros,"2013","NA","NA"
Comoros,"2014","NA","NA"
"Congo, Dem. Rep.","2005","NA","794528.22"
"Congo, Dem. Rep.","2006","NA","922488.68"
"Congo, Dem. Rep.","2007","NA","895387.99"
"Congo, Dem. Rep.","2008","NA","754085.86"
"Congo, Dem. Rep.","2009","NA","731884.62677823"
"Congo, Dem. Rep.","2010","NA","799228.673149844"
"Congo, Dem. Rep.","2011","NA","800756.941604716"
"Congo, Dem. Rep.","2012","NA","802271.302846335"
"Congo, Dem. Rep.","2013","NA","NA"
"Congo, Dem. Rep.","2014","NA","NA"
"Congo, Rep.","2005","NA","38914.474"
"Congo, Rep.","2006","NA","37981.7162"
"Congo, Rep.","2007","NA","34160.312"
"Congo, Rep.","2008","NA","31049.211"
"Congo, Rep.","2009","NA","34611.2805484124"
"Congo, Rep.","2010","NA","35247.1649100242"
"Congo, Rep.","2011","NA","35504.4557838841"
"Congo, Rep.","2012","NA","35743.9185202452"
"Congo, Rep.","2013","NA","NA"
"Congo, Rep.","2014","NA","NA"
Costa Rica,"2005","-3.5073","10095.2385"
Costa Rica,"2006","NA","10715.1246"
Costa Rica,"2007","NA","11298.0278"
Costa Rica,"2008","NA","10806.5413"
Costa Rica,"2009","NA","11067.7508013063"
Costa Rica,"2010","NA","11684.5675043084"
Costa Rica,"2011","NA","11994.6875158322"
Costa Rica,"2012","NA","12274.1340926836"
Costa Rica,"2013","NA","NA"
Costa Rica,"2014","NA","NA"
Cote d'Ivoire,"2005","NA","26282.736"
Cote d'Ivoire,"2006","NA","27248.765"
Cote d'Ivoire,"2007","NA","27859.552"
Cote d'Ivoire,"2008","NA","29682.239"
Cote d'Ivoire,"2009","NA","30685.2342736302"
Cote d'Ivoire,"2010","NA","32525.2533486886"
Cote d'Ivoire,"2011","NA","33027.4827204803"
Cote d'Ivoire,"2012","NA","33502.160237923"
Cote d'Ivoire,"2013","NA","NA"
Cote d'Ivoire,"2014","NA","NA"
Croatia,"2005","-8.10000907299354","29863.54461"
Croatia,"2006","-8.21543550215909","30290.0744"
Croatia,"2007","-8.50575069749461","33301.0976"
Croatia,"2008","-8.64311052493293","32938.0609"
Croatia,"2009","-8.71205832991601","31461.0364"
Croatia,"2010","NA","31172.6453"
Croatia,"2011","NA","30453.5113317779"
Croatia,"2012","NA","30421.0493635559"
Croatia,"2013","NA","NA"
Croatia,"2014","NA","NA"
Cuba,"2005","NA","45763.451"
Cuba,"2006","NA","45505.476"
Cuba,"2007","NA","44012.986"
Cuba,"2008","NA","48557.436"
Cuba,"2009","NA","50545.3964985048"
Cuba,"2010","NA","49782.5314025299"
Cuba,"2011","NA","51170.7478479685"
Cuba,"2012","NA","52418.4556499535"
Cuba,"2013","NA","NA"
Cuba,"2014","NA","NA"
Curacao,"2005","NA","NA"
Curacao,"2006","NA","NA"
Curacao,"2007","NA","NA"
Curacao,"2008","NA","NA"
Curacao,"2009","NA","NA"
Curacao,"2010","NA","NA"
Curacao,"2011","NA","NA"
Curacao,"2012","NA","NA"
Curacao,"2013","NA","NA"
Curacao,"2014","NA","NA"
Cyprus,"2005","NA","8911.6747"
Cyprus,"2006","NA","8761.86464"
Cyprus,"2007","NA","9077.2757"
Cyprus,"2008","NA","9165.95482"
Cyprus,"2009","NA","7716.27396"
Cyprus,"2010","NA","7563.8018"
Cyprus,"2011","NA","7652.33091598057"
Cyprus,"2012","NA","7431.19345348047"
Cyprus,"2013","NA","NA"
Cyprus,"2014","NA","NA"
Czech Republic,"2005","-6.68663524070412","147551.436"
Czech Republic,"2006","-3.47207032828749","147768.299"
Czech Republic,"2007","-0.729981896422474","149838.95488"
Czech Republic,"2008","-4.77828353354794","144072.577"
Czech Republic,"2009","-6.86314683418994","137877.28962"
Czech Republic,"2010","NA","145706.917"
Czech Republic,"2011","NA","144613.247371501"
Czech Republic,"2012","NA","138957.424743003"
Czech Republic,"2013","NA","NA"
Czech Republic,"2014","NA","NA"
Denmark,"2005","3.58931785004416","64816.68547"
Denmark,"2006","2.91378484438445","72755.336"
Denmark,"2007","-0.0874920180643776","67993.19979"
Denmark,"2008","-2.11521175653663","65167.02911"
Denmark,"2009","-1.11891159402879","63012.0156546705"
Denmark,"2010","NA","63679.0897800674"
Denmark,"2011","NA","58416.0447370069"
Denmark,"2012","NA","53703.2239270284"
Denmark,"2013","NA","NA"
Denmark,"2014","NA","NA"
Djibouti,"2005","NA","2160.03724"
Djibouti,"2006","NA","2149.82654"
Djibouti,"2007","NA","2432.43131"
Djibouti,"2008","NA","2518.567"
Djibouti,"2009","NA","2523.21548727578"
Djibouti,"2010","NA","2629.83257395005"
Djibouti,"2011","NA","2701.62250690939"
Djibouti,"2012","NA","2766.30381501414"
Djibouti,"2013","NA","NA"
Djibouti,"2014","NA","NA"
Dominica,"2005","NA","174.603343"
Dominica,"2006","NA","191.163414"
Dominica,"2007","NA","195.278392"
Dominica,"2008","NA","202.798108"
Dominica,"2009","NA","203.107461505429"
Dominica,"2010","NA","211.314184610682"
Dominica,"2011","NA","217.382774399324"
Dominica,"2012","NA","222.835577813651"
Dominica,"2013","NA","NA"
Dominica,"2014","NA","NA"
Dominican Republic,"2005","NA","29247.7907"
Dominican Republic,"2006","NA","29635.7214"
Dominican Republic,"2007","NA","30393.1473"
Dominican Republic,"2008","NA","30646.076"
Dominican Republic,"2009","NA","30499.8469375531"
Dominican Republic,"2010","NA","31668.7077187034"
Dominican Republic,"2011","NA","32578.1585810517"
Dominican Republic,"2012","NA","33395.0844298818"
Dominican Republic,"2013","NA","NA"
Dominican Republic,"2014","NA","NA"
Ecuador,"2005","NA","47049.334"
Ecuador,"2006","NA","48495.587"
Ecuador,"2007","NA","49801.889"
Ecuador,"2008","NA","47603.308"
Ecuador,"2009","NA","49448.3280129417"
Ecuador,"2010","NA","50320.6980317543"
Ecuador,"2011","NA","51593.6633841968"
Ecuador,"2012","NA","52746.5726940589"
Ecuador,"2013","NA","NA"
Ecuador,"2014","NA","NA"
"Egypt, Arab Rep.","2005","NA","243789.5327"
"Egypt, Arab Rep.","2006","NA","256320.5954"
"Egypt, Arab Rep.","2007","NA","266252.2745"
"Egypt, Arab Rep.","2008","NA","269736.626"
"Egypt, Arab Rep.","2009","NA","266325.429884229"
"Egypt, Arab Rep.","2010","NA","280255.576563894"
"Egypt, Arab Rep.","2011","NA","288287.828043016"
"Egypt, Arab Rep.","2012","NA","295499.745446082"
"Egypt, Arab Rep.","2013","NA","NA"
"Egypt, Arab Rep.","2014","NA","NA"
El Salvador,"2005","NA","11528.2484"
El Salvador,"2006","NA","11690.5465"
El Salvador,"2007","NA","12085.9588"
El Salvador,"2008","NA","11979.6733"
El Salvador,"2009","NA","11911.5614974884"
El Salvador,"2010","NA","11978.8533908473"
El Salvador,"2011","NA","12293.6068691146"
El Salvador,"2012","NA","12577.7897375628"
El Salvador,"2013","NA","NA"
El Salvador,"2014","NA","NA"
Equatorial Guinea,"2005","NA","5675.88963"
Equatorial Guinea,"2006","NA","5693.14183"
Equatorial Guinea,"2007","NA","5927.13969"
Equatorial Guinea,"2008","NA","5766.37061"
Equatorial Guinea,"2009","NA","5840.52221773663"
Equatorial Guinea,"2010","NA","6099.11390788911"
Equatorial Guinea,"2011","NA","6243.10307072571"
Equatorial Guinea,"2012","NA","6374.17105425022"
Equatorial Guinea,"2013","NA","NA"
Equatorial Guinea,"2014","NA","NA"
Eritrea,"2005","NA","4476.2926"
Eritrea,"2006","NA","4483.4227"
Eritrea,"2007","NA","4868.8631"
Eritrea,"2008","NA","4954.7574"
Eritrea,"2009","NA","4751.093152378"
Eritrea,"2010","NA","4844.785693043"
Eritrea,"2011","NA","4912.88017286787"
Eritrea,"2012","NA","4977.88803281947"
Eritrea,"2013","NA","NA"
Eritrea,"2014","NA","NA"
Estonia,"2005","-8.66524221594138","20053.5829"
Estonia,"2006","-1.57858599552786","19628.3862"
Estonia,"2007","-13.7115871408437","23503.7062"
Estonia,"2008","-0.32631702697274","21871.9123"
Estonia,"2009","-7.03459256035008","18815.60914"
Estonia,"2010","NA","22767.1259"
Estonia,"2011","NA","24378.846055451"
Estonia,"2012","NA","23292.7792109021"
Estonia,"2013","NA","NA"
Estonia,"2014","NA","NA"
Ethiopia,"2005","NA","200010.181"
Ethiopia,"2006","NA","175184.51"
Ethiopia,"2007","NA","189006.75"
Ethiopia,"2008","NA","175266.23"
Ethiopia,"2009","NA","182032.58408693"
Ethiopia,"2010","NA","182771.197854415"
Ethiopia,"2011","NA","184045.876084179"
Ethiopia,"2012","NA","185292.168103158"
Ethiopia,"2013","NA","NA"
Ethiopia,"2014","NA","NA"
Faroe Islands,"2005","NA","44.810187"
Faroe Islands,"2006","NA","45.057112"
Faroe Islands,"2007","NA","45.353056"
Faroe Islands,"2008","NA","45.688811"
Faroe Islands,"2009","NA","46.0288441264185"
Faroe Islands,"2010","NA","46.5101708393574"
Faroe Islands,"2011","NA","47.0270853151734"
Faroe Islands,"2012","NA","47.5359335500332"
Faroe Islands,"2013","NA","NA"
Faroe Islands,"2014","NA","NA"
Fiji,"2005","NA","1836.0699"
Fiji,"2006","NA","1945.9711"
Fiji,"2007","NA","2097.6959"
Fiji,"2008","NA","2123.9629"
Fiji,"2009","NA","2336.07495179159"
Fiji,"2010","NA","2163.92228733812"
Fiji,"2011","NA","2213.24287418135"
Fiji,"2012","NA","2258.17305672094"
Fiji,"2013","NA","NA"
Fiji,"2014","NA","NA"
Finland,"2005","-27.6634557037431","76199.7899"
Finland,"2006","-31.2243135652888","88152.9764"
Finland,"2007","-23.3395376608884","85742.2331"
Finland,"2008","-27.0104851771971","78384.73416"
Finland,"2009","-40.5584185028491","74993.8863442864"
Finland,"2010","NA","84371.5387256094"
Finland,"2011","NA","76124.6255948726"
Finland,"2012","NA","69072.9387223345"
Finland,"2013","NA","NA"
Finland,"2014","NA","NA"
France,"2005","-64.8813345343308","557130.1263"
France,"2006","-69.3892716245236","547361.3761"
France,"2007","-68.5188924214821","540947.1359"
France,"2008","-68.9030912352135","544424.0617"
France,"2009","-63.9204520539685","527525.776542167"
France,"2010","NA","532133.040360555"
France,"2011","NA","502656.654982811"
